iter	Passed	Remaining
0	56	56400
1	57	28906
2	58	19464
3	59	14729
4	59	11880
5	60	9962
6	60	8598
7	61	7578
8	61	6774
9	61	6130
10	62	5613
11	62	5179
12	63	4812
13	63	4499
14	64	4226
15	64	3985
16	65	3780
17	65	3596
18	66	3434
19	67	3287
20	67	3154
21	68	3035
22	68	2920
23	69	2819
24	69	2729
25	71	2674
26	72	2612
27	73	2536
28	73	2461
29	73	2390
30	74	2323
31	74	2262
32	75	2208
33	76	2159
34	76	2110
35	76	2059
36	77	2015
37	78	1974
38	78	1936
39	79	1899
40	79	1861
41	80	1828
42	80	1797
43	81	1781
44	83	1768
45	84	1751
46	84	1720
47	85	1693
48	85	1666
49	86	1641
50	86	1616
51	87	1592
52	87	1570
53	88	1546
54	88	1525
55	89	1504
56	89	1484
57	90	1465
58	90	1449
59	91	1439
60	92	1421
61	92	1405
62	93	1388
63	93	1372
64	94	1357
65	94	1342
66	95	1328
67	95	1314
68	96	1304
69	97	1290
70	99	1296
71	99	1287
72	100	1279
73	101	1273
74	102	1261
75	103	1252
76	103	1240
77	103	1228
78	104	1220
79	105	1212
80	105	1201
81	106	1194
82	107	1182
83	107	1176
84	108	1166
85	109	1160
86	109	1150
87	110	1141
88	110	1133
89	111	1129
90	112	1120
91	112	1112
92	113	1105
93	114	1100
94	115	1096
95	115	1090
96	116	1083
97	117	1079
98	118	1074
99	118	1067
100	119	1059
101	119	1054
102	120	1047
103	120	1040
104	121	1033
105	121	1026
106	122	1019
107	122	1013
108	123	1007
109	123	1002
110	124	997
111	125	991
112	125	984
113	125	978
114	126	972
115	127	974
116	129	974
117	129	971
118	131	970
119	133	982
120	135	984
121	137	986
122	138	984
123	139	982
124	139	979
125	140	976
126	141	973
127	142	968
128	142	963
129	143	957
130	143	951
131	143	946
132	144	942
133	144	936
134	145	932
135	146	927
136	146	923
137	147	918
138	147	914
139	148	909
140	148	905
141	148	899
142	149	894
143	149	891
144	150	888
145	152	889
146	152	886
147	153	882
148	153	878
149	154	874
150	154	871
151	155	866
152	155	862
153	156	857
154	156	853
155	157	849
156	157	845
157	157	841
158	158	837
159	158	833
160	159	829
161	159	825
162	159	821
163	160	817
164	160	813
165	161	810
166	161	806
167	162	803
168	162	799
169	163	796
170	163	793
171	165	799
172	166	798
173	167	795
174	168	792
175	168	789
176	169	786
177	169	783
178	170	779
179	170	776
180	170	773
181	171	770
182	171	767
183	172	764
184	172	761
185	173	758
186	173	755
187	174	752
188	174	749
189	175	746
190	175	743
191	176	741
192	176	738
193	177	736
194	177	733
195	178	730
196	179	731
197	180	732
198	182	732
199	182	730
200	183	727
201	183	724
202	183	722
203	184	720
204	185	717
205	185	715
206	186	712
207	186	710
208	186	707
209	187	704
210	187	702
211	188	699
212	188	697
213	189	694
214	189	692
215	189	689
216	190	687
217	190	684
218	191	682
219	191	679
220	192	677
221	193	676
222	194	676
223	195	676
224	195	674
225	196	672
226	196	670
227	197	667
228	197	665
229	198	663
230	198	660
231	198	658
232	199	656
233	199	654
234	200	652
235	200	650
236	201	647
237	201	645
238	202	643
239	202	641
240	202	639
241	203	637
242	204	635
243	204	633
244	205	632
245	205	630
246	206	628
247	206	626
248	207	625
249	208	624
250	209	624
251	210	624
252	210	622
253	211	620
254	211	618
255	212	616
256	212	614
257	212	612
258	213	610
259	213	608
260	214	606
261	214	604
262	215	602
263	215	600
264	215	598
265	216	597
266	216	595
267	217	593
268	217	591
269	218	589
270	218	588
271	219	587
272	219	585
273	220	584
274	220	582
275	221	581
276	222	580
277	222	578
278	223	577
279	224	576
280	224	575
281	225	573
282	225	571
283	226	570
284	226	568
285	227	566
286	227	565
287	228	563
288	228	562
289	228	560
290	229	558
291	229	557
292	230	555
293	230	553
294	231	552
295	231	551
296	232	549
297	232	548
298	233	546
299	233	545
300	234	543
301	234	542
302	234	540
303	235	539
304	236	537
305	236	536
306	237	536
307	238	534
308	238	533
309	239	532
310	239	530
311	240	529
312	240	528
313	240	526
314	241	524
315	241	523
316	242	521
317	242	520
318	243	518
319	243	517
320	244	516
321	244	515
322	245	513
323	245	513
324	246	512
325	247	511
326	247	509
327	248	508
328	248	507
329	249	505
330	249	504
331	250	503
332	250	502
333	251	501
334	252	500
335	252	499
336	253	497
337	253	496
338	253	495
339	254	493
340	254	492
341	255	490
342	255	489
343	256	488
344	256	487
345	257	486
346	257	484
347	258	483
348	258	482
349	259	481
350	259	480
351	260	478
352	260	477
353	261	476
354	261	475
355	261	473
356	262	472
357	262	471
358	263	469
359	263	468
360	264	467
361	266	469
362	267	469
363	268	468
364	268	467
365	269	466
366	269	464
367	269	463
368	270	462
369	270	461
370	271	460
371	271	458
372	272	457
373	272	456
374	273	455
375	273	454
376	274	453
377	274	451
378	275	450
379	275	449
380	275	448
381	276	446
382	276	445
383	277	444
384	277	443
385	277	442
386	278	440
387	279	440
388	279	439
389	280	438
390	281	438
391	281	436
392	282	435
393	282	434
394	283	433
395	283	432
396	283	431
397	284	430
398	284	429
399	285	427
400	285	427
401	286	426
402	287	425
403	287	424
404	288	423
405	288	422
406	289	421
407	289	420
408	290	419
409	291	418
410	292	419
411	295	421
412	297	422
413	298	422
414	298	420
415	298	419
416	299	418
417	300	418
418	300	417
419	301	416
420	302	415
421	302	414
422	303	413
423	303	412
424	304	411
425	304	410
426	305	409
427	305	408
428	306	407
429	306	406
430	307	405
431	307	404
432	308	403
433	309	403
434	309	402
435	310	401
436	310	400
437	311	399
438	312	399
439	313	398
440	313	397
441	314	396
442	314	395
443	315	395
444	316	394
445	316	393
446	317	392
447	318	391
448	318	390
449	318	389
450	319	388
451	319	387
452	320	386
453	321	386
454	321	385
455	322	384
456	323	384
457	324	383
458	324	382
459	325	381
460	325	381
461	326	380
462	326	379
463	327	378
464	327	377
465	328	376
466	328	375
467	329	374
468	329	373
469	330	372
470	330	371
471	331	370
472	331	369
473	332	368
474	332	367
475	333	366
476	333	366
477	334	365
478	335	364
479	335	363
480	336	363
481	337	362
482	337	361
483	338	360
484	338	359
485	339	359
486	340	358
487	340	357
488	341	356
489	341	355
490	342	355
491	342	354
492	343	353
493	344	352
494	344	351
495	344	350
496	345	349
497	345	348
498	346	347
499	346	346
500	347	346
501	347	345
502	348	344
503	349	343
504	350	343
505	350	342
506	351	341
507	352	341
508	352	340
509	353	339
510	353	338
511	354	337
512	354	336
513	355	336
514	356	335
515	356	334
516	357	333
517	357	333
518	358	332
519	359	331
520	359	330
521	359	329
522	360	328
523	360	327
524	361	326
525	361	325
526	362	325
527	362	324
528	363	323
529	364	323
530	366	323
531	367	323
532	368	322
533	368	321
534	369	320
535	369	319
536	370	319
537	370	318
538	371	317
539	371	316
540	372	315
541	373	315
542	373	314
543	373	313
544	374	312
545	375	312
546	375	311
547	376	310
548	377	310
549	379	310
550	379	309
551	380	308
552	380	307
553	381	307
554	381	306
555	382	305
556	383	304
557	383	303
558	384	303
559	384	302
560	385	301
561	385	300
562	386	299
563	386	299
564	387	298
565	387	297
566	388	296
567	388	295
568	389	294
569	389	294
570	390	293
571	392	293
572	393	292
573	395	293
574	395	292
575	396	291
576	396	290
577	397	290
578	397	289
579	398	288
580	399	288
581	400	287
582	400	286
583	401	285
584	401	285
585	402	284
586	402	283
587	403	282
588	404	281
589	405	281
590	407	281
591	408	281
592	409	280
593	409	280
594	410	279
595	410	278
596	411	277
597	411	276
598	412	275
599	412	274
600	412	274
601	413	273
602	413	272
603	414	271
604	414	270
605	415	270
606	415	269
607	416	268
608	416	267
609	417	266
610	417	265
611	417	264
612	418	264
613	419	263
614	419	262
615	420	262
616	421	261
617	421	260
618	422	260
619	423	259
620	423	258
621	424	257
622	424	256
623	424	256
624	425	255
625	425	254
626	426	253
627	426	252
628	427	252
629	428	251
630	428	250
631	429	249
632	429	249
633	430	248
634	430	247
635	431	246
636	431	246
637	432	245
638	432	244
639	433	243
640	433	242
641	433	241
642	434	241
643	435	240
644	435	239
645	436	239
646	436	238
647	437	237
648	438	236
649	438	236
650	438	235
651	439	234
652	439	233
653	440	232
654	440	232
655	441	231
656	441	230
657	442	229
658	442	229
659	443	228
660	443	227
661	445	227
662	446	226
663	446	226
664	447	225
